userId,email,password,candidateId
student-001,student-001@test.local,password123,W250001
student-002,student-002@test.local,password123,W250002
student-003,student-003@test.local,password123,W250003
student-004,student-004@test.local,password123,W250004
student-005,student-005@test.local,password123,W250005
student-006,student-006@test.local,password123,W250006
student-007,student-007@test.local,password123,W250007
student-008,student-008@test.local,password123,W250008
student-009,student-009@test.local,password123,W250009
student-010,student-010@test.local,password123,W250010
student-011,student-011@test.local,password123,W250011
student-012,student-012@test.local,password123,W250012
student-013,student-013@test.local,password123,W250013
student-014,student-014@test.local,password123,W250014
student-015,student-015@test.local,password123,W250015
student-016,student-016@test.local,password123,W250016
student-017,student-017@test.local,password123,W250017
student-018,student-018@test.local,password123,W250018
student-019,student-019@test.local,password123,W250019
student-020,student-020@test.local,password123,W250020
student-021,student-021@test.local,password123,W250021
student-022,student-022@test.local,password123,W250022
student-023,student-023@test.local,password123,W250023
student-024,student-024@test.local,password123,W250024
student-025,student-025@test.local,password123,W250025
student-026,student-026@test.local,password123,W250026
student-027,student-027@test.local,password123,W250027
student-028,student-028@test.local,password123,W250028
student-029,student-029@test.local,password123,W250029
student-030,student-030@test.local,password123,W250030
student-031,student-031@test.local,password123,W250031
student-032,student-032@test.local,password123,W250032
student-033,student-033@test.local,password123,W250033
student-034,student-034@test.local,password123,W250034
student-035,student-035@test.local,password123,W250035
student-036,student-036@test.local,password123,W250036
student-037,student-037@test.local,password123,W250037
student-038,student-038@test.local,password123,W250038
student-039,student-039@test.local,password123,W250039
student-040,student-040@test.local,password123,W250040
student-041,student-041@test.local,password123,W250041
student-042,student-042@test.local,password123,W250042
student-043,student-043@test.local,password123,W250043
student-044,student-044@test.local,password123,W250044
student-045,student-045@test.local,password123,W250045
student-046,student-046@test.local,password123,W250046
student-047,student-047@test.local,password123,W250047
student-048,student-048@test.local,password123,W250048
student-049,student-049@test.local,password123,W250049
student-050,student-050@test.local,password123,W250050
student-051,student-051@test.local,password123,W250051
student-052,student-052@test.local,password123,W250052
student-053,student-053@test.local,password123,W250053
student-054,student-054@test.local,password123,W250054
student-055,student-055@test.local,password123,W250055
student-056,student-056@test.local,password123,W250056
student-057,student-057@test.local,password123,W250057
student-058,student-058@test.local,password123,W250058
student-059,student-059@test.local,password123,W250059
student-060,student-060@test.local,password123,W250060
student-061,student-061@test.local,password123,W250061
student-062,student-062@test.local,password123,W250062
student-063,student-063@test.local,password123,W250063
student-064,student-064@test.local,password123,W250064
student-065,student-065@test.local,password123,W250065
student-066,student-066@test.local,password123,W250066
student-067,student-067@test.local,password123,W250067
student-068,student-068@test.local,password123,W250068
student-069,student-069@test.local,password123,W250069
student-070,student-070@test.local,password123,W250070
student-071,student-071@test.local,password123,W250071
student-072,student-072@test.local,password123,W250072
student-073,student-073@test.local,password123,W250073
student-074,student-074@test.local,password123,W250074
student-075,student-075@test.local,password123,W250075
student-076,student-076@test.local,password123,W250076
student-077,student-077@test.local,password123,W250077
student-078,student-078@test.local,password123,W250078
student-079,student-079@test.local,password123,W250079
student-080,student-080@test.local,password123,W250080
student-081,student-081@test.local,password123,W250081
student-082,student-082@test.local,password123,W250082
student-083,student-083@test.local,password123,W250083
student-084,student-084@test.local,password123,W250084
student-085,student-085@test.local,password123,W250085
student-086,student-086@test.local,password123,W250086
student-087,student-087@test.local,password123,W250087
student-088,student-088@test.local,password123,W250088
student-089,student-089@test.local,password123,W250089
student-090,student-090@test.local,password123,W250090
student-091,student-091@test.local,password123,W250091
student-092,student-092@test.local,password123,W250092
student-093,student-093@test.local,password123,W250093
student-094,student-094@test.local,password123,W250094
student-095,student-095@test.local,password123,W250095
student-096,student-096@test.local,password123,W250096
student-097,student-097@test.local,password123,W250097
student-098,student-098@test.local,password123,W250098
student-099,student-099@test.local,password123,W250099
student-100,student-100@test.local,password123,W250100
student-101,student-101@test.local,password123,W250101
student-102,student-102@test.local,password123,W250102
student-103,student-103@test.local,password123,W250103
student-104,student-104@test.local,password123,W250104
student-105,student-105@test.local,password123,W250105
student-106,student-106@test.local,password123,W250106
student-107,student-107@test.local,password123,W250107
student-108,student-108@test.local,password123,W250108
student-109,student-109@test.local,password123,W250109
student-110,student-110@test.local,password123,W250110
student-111,student-111@test.local,password123,W250111
student-112,student-112@test.local,password123,W250112
student-113,student-113@test.local,password123,W250113
student-114,student-114@test.local,password123,W250114
student-115,student-115@test.local,password123,W250115
student-116,student-116@test.local,password123,W250116
student-117,student-117@test.local,password123,W250117
student-118,student-118@test.local,password123,W250118
student-119,student-119@test.local,password123,W250119
student-120,student-120@test.local,password123,W250120
student-121,student-121@test.local,password123,W250121
student-122,student-122@test.local,password123,W250122
student-123,student-123@test.local,password123,W250123
student-124,student-124@test.local,password123,W250124
student-125,student-125@test.local,password123,W250125
student-126,student-126@test.local,password123,W250126
student-127,student-127@test.local,password123,W250127
student-128,student-128@test.local,password123,W250128
student-129,student-129@test.local,password123,W250129
student-130,student-130@test.local,password123,W250130
student-131,student-131@test.local,password123,W250131
student-132,student-132@test.local,password123,W250132
student-133,student-133@test.local,password123,W250133
student-134,student-134@test.local,password123,W250134
student-135,student-135@test.local,password123,W250135
student-136,student-136@test.local,password123,W250136
student-137,student-137@test.local,password123,W250137
student-138,student-138@test.local,password123,W250138
student-139,student-139@test.local,password123,W250139
student-140,student-140@test.local,password123,W250140
student-141,student-141@test.local,password123,W250141
student-142,student-142@test.local,password123,W250142
student-143,student-143@test.local,password123,W250143
student-144,student-144@test.local,password123,W250144
student-145,student-145@test.local,password123,W250145
student-146,student-146@test.local,password123,W250146
student-147,student-147@test.local,password123,W250147
student-148,student-148@test.local,password123,W250148
student-149,student-149@test.local,password123,W250149
student-150,student-150@test.local,password123,W250150
student-151,student-151@test.local,password123,W250151
student-152,student-152@test.local,password123,W250152
student-153,student-153@test.local,password123,W250153
student-154,student-154@test.local,password123,W250154
student-155,student-155@test.local,password123,W250155
student-156,student-156@test.local,password123,W250156
student-157,student-157@test.local,password123,W250157
student-158,student-158@test.local,password123,W250158
student-159,student-159@test.local,password123,W250159
student-160,student-160@test.local,password123,W250160
student-161,student-161@test.local,password123,W250161
student-162,student-162@test.local,password123,W250162
student-163,student-163@test.local,password123,W250163
student-164,student-164@test.local,password123,W250164
student-165,student-165@test.local,password123,W250165
student-166,student-166@test.local,password123,W250166
student-167,student-167@test.local,password123,W250167
student-168,student-168@test.local,password123,W250168
student-169,student-169@test.local,password123,W250169
student-170,student-170@test.local,password123,W250170
student-171,student-171@test.local,password123,W250171
student-172,student-172@test.local,password123,W250172
student-173,student-173@test.local,password123,W250173
student-174,student-174@test.local,password123,W250174
student-175,student-175@test.local,password123,W250175
student-176,student-176@test.local,password123,W250176
student-177,student-177@test.local,password123,W250177
student-178,student-178@test.local,password123,W250178
student-179,student-179@test.local,password123,W250179
student-180,student-180@test.local,password123,W250180
student-181,student-181@test.local,password123,W250181
student-182,student-182@test.local,password123,W250182
student-183,student-183@test.local,password123,W250183
student-184,student-184@test.local,password123,W250184
student-185,student-185@test.local,password123,W250185
student-186,student-186@test.local,password123,W250186
student-187,student-187@test.local,password123,W250187
student-188,student-188@test.local,password123,W250188
student-189,student-189@test.local,password123,W250189
student-190,student-190@test.local,password123,W250190
student-191,student-191@test.local,password123,W250191
student-192,student-192@test.local,password123,W250192
student-193,student-193@test.local,password123,W250193
student-194,student-194@test.local,password123,W250194
student-195,student-195@test.local,password123,W250195
student-196,student-196@test.local,password123,W250196
student-197,student-197@test.local,password123,W250197
student-198,student-198@test.local,password123,W250198
student-199,student-199@test.local,password123,W250199
student-200,student-200@test.local,password123,W250200
student-201,student-201@test.local,password123,W250201
student-202,student-202@test.local,password123,W250202
student-203,student-203@test.local,password123,W250203
student-204,student-204@test.local,password123,W250204
student-205,student-205@test.local,password123,W250205
student-206,student-206@test.local,password123,W250206
student-207,student-207@test.local,password123,W250207
student-208,student-208@test.local,password123,W250208
student-209,student-209@test.local,password123,W250209
student-210,student-210@test.local,password123,W250210
student-211,student-211@test.local,password123,W250211
student-212,student-212@test.local,password123,W250212
student-213,student-213@test.local,password123,W250213
student-214,student-214@test.local,password123,W250214
student-215,student-215@test.local,password123,W250215
student-216,student-216@test.local,password123,W250216
student-217,student-217@test.local,password123,W250217
